employee_id,username,account_status,last_login
E1000,linda.smith,Active,2026-06-08
E1001,michael.brown,Active,2026-07-21
E1002,robert.jackson,Active,2026-07-28
E1003,karen.taylor,Active,2026-06-19
E1004,emily.wilson,Active,2026-06-07
E1005,james.garcia,Active,2026-07-17
E1006,michael.miller,Disabled,2026-06-02
E1007,betty.lopez,Active,2026-06-06
E1008,joseph.moore,Active,2026-06-26
E1009,robert.moore,Active,2026-07-17
E1010,betty.jackson,Disabled,2026-07-30
E1011,nancy.williams,Disabled,2026-07-06
E1012,joseph.lopez,Active,2026-06-20
E1013,john.williams,Active,2026-06-25
E1014,karen.garcia,Active,2026-06-26
E1015,emily.davis,Active,2026-06-29
E1016,maria.davis,Active,2026-07-12
E1017,john.williams,Active,2026-06-03
E1018,william.miller,Active,2026-07-16
E1019,joseph.jones,Active,2026-07-19
E1020,emily.moore,Active,2026-06-20
E1021,charles.gonzalez,Active,2026-06-17
E1022,michael.taylor,Active,2026-07-12
E1023,linda.jones,Active,2026-07-17
E1024,sandra.martin,Active,2026-07-16
E1025,joseph.taylor,Active,2026-07-07
E1026,james.brown,Active,2026-07-24
E1027,john.hernandez,Active,2026-06-20
E1028,joseph.smith,Active,2026-06-21
E1029,thomas.garcia,Active,2026-07-12
E1030,nancy.taylor,Active,2026-06-03
E1031,susan.moore,Disabled,2026-07-28
E1032,ashley.smith,Active,2026-08-01
E1033,nancy.davis,Active,2026-07-03
E1034,robert.williams,Active,2026-06-23
E1035,emily.jones,Active,2026-06-26
E1036,emily.garcia,Active,2026-07-26
E1037,sandra.miller,Active,2026-07-28
E1038,david.martinez,Active,2026-06-28
E1039,joseph.taylor,Active,2026-07-19
E1040,robert.hernandez,Active,2026-06-30
E1041,charles.davis,Active,2026-07-16
E1042,maria.davis,Active,2026-07-10
E1043,robert.taylor,Active,2026-06-06
E1044,david.moore,Active,2026-07-28
E1045,charles.jackson,Active,2026-06-06
E1046,sandra.miller,Active,2026-07-17
E1047,betty.wilson,Active,2026-07-09
E1048,maria.brown,Active,2026-07-14
E1049,linda.davis,Active,2026-07-22
E1050,michael.wilson,Active,2026-07-04
E1051,robert.anderson,Disabled,2026-06-17
E1052,james.williams,Active,2026-07-13
E1053,ashley.miller,Disabled,2026-06-11
E1054,james.gonzalez,Active,2026-06-21
E1055,joseph.martinez,Active,2026-06-29
E1056,emily.thomas,Active,2026-08-01
E1057,maria.jackson,Disabled,2026-06-27
E1058,maria.johnson,Active,2026-07-13
E1059,thomas.garcia,Active,2026-06-03
